label,comment,id,0,1,pred
0,一如既往地好吃，希望可以开到其他城市,0,1.0,1.739175426937467e-12,0
0,味道很不错，分量足，客人很多，满意,1,1.0,1.748734778180113e-20,0
0,下雨天来的，没有想象中那么火爆。环境非常干净，古色古香的，我自己也是个做服务行业的，我都觉得他们的服务非常好，场地脏了马上就有阿姨打扫。,2,1.0,0.0,0
0,真心不好吃 基本上没得好多味道,3,1.0,2.2924652398614853e-08,0
0,少送一个牛肉汉堡 而且也不好吃 特别是鸡肉卷 **都不想评论了 谁买谁知道,4,0.9982243180274963,0.0017756830202415586,0
0,用美团，图打折。,5,0.9998478889465332,0.00015208260447252542,0
0,好难吃水煮鸡杂呀,6,0.8553832173347473,0.14461681246757507,0
0,环境很好，服务很热情，味道非常好，鱼也很新鲜，我和儿子吃的好饱，包子和饺子很好吃哟，,7,1.0,0.0,0
0,一如既往的好吃，个人更喜欢吃全翅,8,1.0,3.9200916934668215e-31,0
0,四个就把我吃饱了……阔以,9,0.39675721526145935,0.603242814540863,1
0,蛋糕很好吃，送货及时，服务一流啊，下次有机会继续买。,10,1.0,0.0,0
0,肉不好吃#脆香鸡排煲仔饭+半卤蛋##秘制小炒肉煲仔饭+半卤蛋#太辣#功夫烤鸡腿肉煲仔饭+半卤蛋#越吃越没味,11,1.0,2.5385215602449933e-33,0
1,恶心，不想说了，喝嘴里嚼两下觉得口感不对，吐出来就是只小蟑螂，关键是我还嚼了两口，昨天喝了，恶心到现在，饮食行业麻烦还是注意哈卫生好吗！！！！！,12,3.2093568254343285e-12,1.0,1
0,巨难吃，一个咸一个酸,13,0.9986121654510498,0.0013877927558496594,0
0,价格实惠，服务态度很好，分量超足，鸭爪入口即化，软糯，很入味，超辣，推荐！,14,1.0,9.371116189421246e-16,0
0,喜欢这个地方，菜品多，味道也不错，最好点个鸳鸯锅，锅底也是20元,15,1.0,0.0,0
0,真的很不错，吃了俩次了，朋友从外地来，特意带她们来吃的，他们回去吃东西都觉得没味，还是咱们重庆火锅好吃，特别喜欢这个地方，特别是重庆老火锅，价格也很实惠，服务态度不错，就是里面太热了，辣的慌，嘻嘻@，,16,1.0,0.0,0
0,很好吃，强力推荐，香菜牛肉果然是招牌菜名不虚传,17,1.0,5.0014706460049144e-18,0
0,味道不错，份量不足,18,1.0,1.62931882836938e-17,0
1,真的无语，上两次还觉得可以，今天这个菠萝包里头奶油都臭了，完全不能吃,19,1.2604941730387509e-06,0.9999986886978149,1
0,第二次来吃了，味道还可以，就在金港国际里面，逛累的可以来吃,20,0.9999998807907104,7.881825325739555e-08,0
1,饭里面居然还有虫，好恶心，不想吃了！差评！,21,1.1811278594672948e-22,1.0,1
1,给一个星星❤️完全是给外卖小哥的，为了给我女朋友送外卖都摔了，心疼。但是这个芒果不能忍，女朋友吃了就拉肚子，分量如图，4年多美团老顾客，第一次外卖给差评,22,0.9999959468841553,4.055386398249539e-06,0
1,吃比萨还有虫子，这是什么商家？,23,2.712861241598312e-17,1.0,1
0,送了1个小时，到了东西都冷了,24,0.942459762096405,0.05754020810127258,0
0,点的东西没有加完。,25,0.9981366395950317,0.0018632810097187757,0
0,性价比算比较高，口味适合我，菜品干净，吃过很多次了,26,1.0,4.4156306658887104e-20,0
0,东西还是很不错的，蛋糕很好吃，以后还会去买芒果千层来吃的哈哈,27,1.0,2.0176736739542485e-17,0
0,一如既往喜欢他家的掌中宝和地瓜！和闺蜜去看完电影饿了买来填肚子的。。,28,1.0,2.45093015793518e-18,0
0,挺好吃的，人特别的多，服务态度好，环境很干净,29,1.0,0.0,0
0,老板热情，餐馆干净，口味不错，下次再来,30,1.0,4.7197942389825747e-23,0
0,环境很好，团购也可以享受包房，已到他家吃过多次，菜品也很丰富，份量足，包间还有专门的服务员，很不错，有机会还会来。,31,1.0,0.0,0
0,来吃过好多次了，几天不吃就想，正宗老火锅的味道，毛肚很巴适，特别推荐他家的麻辣牛肉，安逸得板，就是位置有点难找，还有桌子太少了，如果不预订经常都要等,32,1.0,6.171656935505254e-11,0
0,不好吃 都是姜 ,33,0.9999933242797852,6.634329110966064e-06,0
0,可以 ！可以 ！好吃 ！不错 ！漂亮！高端,34,1.0,6.628481064488263e-24,0
0,味道非常不错，四个人三男一女都吃撑了,35,1.0,1.6561375118345077e-26,0
0,还可以，来得时候没有人，去得早，态度赞！,36,1.0,3.054287671463195e-23,0
0,很不错哟~~~~,37,0.9999998807907104,1.6526854551557335e-07,0
0,不错  挺好 几次来买了  挺便宜  服务态度不错,38,1.0,0.0,0
0,exo？这是大份，平常在店里吃小份都比这个多好吧，欺骗消费者，呵呵,39,0.9984664916992188,0.0015335653442889452,0
0,量足，味道不错,40,0.9999994039535522,6.207578735484276e-07,0
0,真的超级划算，分量也挺足的，我和男朋友两个人吃，吃得很撑，就是去了位置不好找，地点就是在网吧里面，然后里面有指示牌,41,1.0,1.2902854784613282e-08,0
0,环境很好，味道不错，价格也不贵，菜品新鲜,42,1.0,1.1917425310204833e-27,0
0,味道特别赞！已经吃过好几次了,43,1.0,4.145057635798047e-23,0
1,别的味道我先不说   吃了拉肚子才是真的,44,9.997663437388837e-05,0.9998999834060669,1
